jurisdiction,age_group,metric,total_fines
VIC,65 and over,Unlicensed Driving,414
WA,0-16,Mobile Phone Use,1
WA,0-16,Non-wearing Seatbelts,2
WA,0-16,Speeding,1187
WA,0-16,Unlicensed Driving,0
WA,17-25,Mobile Phone Use,1510
WA,17-25,Non-wearing Seatbelts,909
WA,17-25,Speeding,153501
WA,17-25,Unlicensed Driving,895
WA,26-39,Mobile Phone Use,3167
WA,26-39,Non-wearing Seatbelts,1517
WA,26-39,Speeding,390677
WA,26-39,Unlicensed Driving,1741
WA,40-64,Mobile Phone Use,2365
WA,40-64,Non-wearing Seatbelts,1071
WA,40-64,Speeding,588767
WA,40-64,Unlicensed Driving,1238
WA,65 and over,Mobile Phone Use,280
WA,65 and over,Non-wearing Seatbelts,215
WA,65 and over,Speeding,145816
WA,65 and over,Unlicensed Driving,155
