"row ID","jurisdiction","age_group","mean_fines","mean_arrests","mean_charges"
"Row0","ACT","0-16",1.6363636363636362,0.3409090909090908,0.5454545454545456
"Row1","ACT","17-25",149.6891891891891,0.5135135135135136,2.2297297297297303
"Row2","ACT","26-39",335.0657894736842,1.5592105263157894,5.065789473684208
"Row3","ACT","40-64",497.65517241379337,0.717241379310345,2.586206896551725
"Row4","ACT","65 and over",191.8952380952381,0,0.08571428571428569
"Row5","NSW","0-16",2.2715517241379324,0,4.952586206896556
"Row6","NSW","17-25",228.81649484536075,0,38.46391752577319
"Row7","NSW","26-39",290.80039138943266,0,53.056751467710384
"Row8","NSW","40-64",286.1170431211502,0,35.065708418891155
"Row9","NSW","65 and over",72.0793650793651,0,2.701058201058201
"Row10","NT","0-16",1.2100000000000004,2.259999999999999,4.08
"Row11","NT","17-25",78.8910256410257,2.320512820512821,10.711538461538465
"Row12","NT","26-39",202.30769230769232,3.115384615384616,15.352564102564102
"Row13","NT","40-64",247.57692307692315,1.2564102564102573,6.256410256410263
"Row14","NT","65 and over",62.485507246376855,0.7898550724637678,3.9347826086956514
"Row15","QLD","0-16",267.2345679012345,0,0
"Row16","QLD","17-25",1509.5416666666667,0,0
"Row17","QLD","26-39",3041.5416666666665,0,0
"Row18","QLD","40-64",3970.9375,0,0
"Row19","QLD","65 and over",962.4375,0,0
"Row20","SA","0-16",0.6402877697841727,1.2805755395683458,0.9208633093525177
"Row21","SA","17-25",152.02352941176466,1.5823529411764712,4.476470588235292
"Row22","SA","26-39",323.25977653631276,3.9776536312849164,10.662011173184357
"Row23","SA","40-64",482.7038043478262,2.3858695652173907,10.421195652173912
"Row24","SA","65 and over",154.57258064516114,0.07795698924731181,0.5887096774193549
"Row25","TAS","0-16",0.45901639344262296,0.2950819672131148,2.557377049180328
"Row26","TAS","17-25",140.72077922077926,0.006493506493506496,5.980519480519485
"Row27","TAS","26-39",307.07142857142867,0,12.188311688311684
"Row28","TAS","40-64",396.66883116883105,0,7.805194805194809
"Row29","TAS","65 and over",147.29054054054052,0,0.3851351351351351
"Row30","VIC","0-16",1.2368421052631582,0,0
"Row31","VIC","17-25",346.6033210332106,0,0
"Row32","VIC","26-39",1044.9036777583192,0,0
"Row33","VIC","40-64",1595.6696113074217,0,0
"Row34","VIC","65 and over",502.1606805293004,0,0
"Row35","WA","0-16",11.01851851851852,3.2407407407407414,9.444444444444443
"Row36","WA","17-25",637.4593495934959,3.739837398373985,38.09756097560977
"Row37","WA","26-39",1601.2177419354837,8.733870967741934,63.379032258064555
"Row38","WA","40-64",2392.907258064515,3.3951612903225805,39.78629032258065
"Row39","WA","65 and over",690.8773584905659,0.06603773584905659,2.1650943396226414
