"jurisdiction","0-16","17-25","26-39","40-64","65 and over"
"ACT",0.0015403211141656059,0.3588854689778066,0.44486954394975675,0.5219190070809133,0.3057696977054753
"NSW",0.0003108136003066851,0.11137270959156516,0.08561388913214818,0.054609529654708056,0.018162946549100153
"NT",0.002086098994879575,0.3944298442407538,0.47980297064323396,0.511048773387673,0.35177252886223637
"QLD",0.01876888073445407,0.2218972647941973,0.26464560955736205,0.2222424326163113,0.09635837631849554
"SA",0.00024952408187754255,0.24921769904677413,0.320930787192386,0.31004227333498563,0.15116129286662547
"TAS",0.0002622484054360348,0.3854403813318156,0.4333311951910125,0.3437667066218718,0.17345534115774816
"VIC",0.00013616439388013479,0.2269979941516228,0.3937391359437425,0.43190159815484586,0.22820818564342402
"WA",0.0019290248536210552,0.47161838654572574,0.6375174991330704,0.6501119048584127,0.3051597512318607
